division,areaName,value,recordDate
110000,北京,293,2015/2/14
120000,天津,241,2015/2/14
130100,石家庄,217,2015/2/14
130200,唐山,280,2015/2/14
130300,秦皇岛,226,2015/2/14
130600,保定,299,2015/2/14
130900,沧州,178,2015/2/14
131000,廊坊,278,2015/2/14
310000,上海,81,2015/2/14
320100,南京,142,2015/2/14
330100,杭州,124,2015/2/14
500000,重庆,201,2015/2/14
110000,北京,326,2015/2/15
120000,天津,162,2015/2/15
130100,石家庄,212,2015/2/15
130200,唐山,176,2015/2/15
130300,秦皇岛,114,2015/2/15
130600,保定,253,2015/2/15
130900,沧州,150,2015/2/15
131000,廊坊,225,2015/2/15
310000,上海,80,2015/2/15
320100,南京,84,2015/2/15
330100,杭州,67,2015/2/15
500000,重庆,190,2015/2/15
110000,北京,153,2015/2/16
120000,天津,155,2015/2/16
130100,石家庄,129,2015/2/16
130200,唐山,178,2015/2/16
130300,秦皇岛,145,2015/2/16
130600,保定,196,2015/2/16
130900,沧州,113,2015/2/16
131000,廊坊,163,2015/2/16
310000,上海,149,2015/2/16
320100,南京,135,2015/2/16
330100,杭州,134,2015/2/16
500000,重庆,178,2015/2/16
120000,天津,67,2015/2/17
130100,石家庄,112,2015/2/17
130200,唐山,75,2015/2/17
130300,秦皇岛,75,2015/2/17
130600,保定,134,2015/2/17
130900,沧州,84,2015/2/17
131000,廊坊,57,2015/2/17
310000,上海,150,2015/2/17
320100,南京,207,2015/2/17
330100,杭州,179,2015/2/17
500000,重庆,104,2015/2/17
110000,北京,73,2015/2/18
120000,天津,90,2015/2/18
130100,石家庄,138,2015/2/18
130200,唐山,115,2015/2/18
130300,秦皇岛,53,2015/2/18
130600,保定,229,2015/2/18
130900,沧州,80,2015/2/18
131000,廊坊,119,2015/2/18
310000,上海,92,2015/2/18
320100,南京,85,2015/2/18
330100,杭州,85,2015/2/18
500000,重庆,118,2015/2/18
110000,北京,267,2015/2/19
120000,天津,107,2015/2/19
130100,石家庄,283,2015/2/19
130200,唐山,132,2015/2/19
130300,秦皇岛,122,2015/2/19
130600,保定,213,2015/2/19
130900,沧州,113,2015/2/19
131000,廊坊,236,2015/2/19
320100,南京,51,2015/2/19
330100,杭州,63,2015/2/19
500000,重庆,148,2015/2/19
110000,北京,183,2015/2/20
120000,天津,84,2015/2/20
130100,石家庄,241,2015/2/20
130200,唐山,97,2015/2/20
130300,秦皇岛,82,2015/2/20
130600,保定,291,2015/2/20
130900,沧州,122,2015/2/20
131000,廊坊,178,2015/2/20
500000,重庆,78,2015/2/20
110000,北京,394,2015/2/21
120000,天津,147,2015/2/21
130100,石家庄,192,2015/2/21
130200,唐山,129,2015/2/21
130300,秦皇岛,124,2015/2/21
130600,保定,270,2015/2/21
130900,沧州,152,2015/2/21
131000,廊坊,208,2015/2/21
310000,上海,84,2015/2/21
320100,南京,68,2015/2/21
500000,重庆,90,2015/2/21
110000,北京,158,2015/2/22
120000,天津,189,2015/2/22
130100,石家庄,67,2015/2/22
130200,唐山,218,2015/2/22
130300,秦皇岛,276,2015/2/22
130600,保定,118,2015/2/22
130900,沧州,126,2015/2/22
131000,廊坊,128,2015/2/22
310000,上海,148,2015/2/22
320100,南京,166,2015/2/22
330100,杭州,107,2015/2/22
500000,重庆,59,2015/2/22
110000,北京,86,2015/2/23
120000,天津,96,2015/2/23
130100,石家庄,97,2015/2/23
130200,唐山,87,2015/2/23
130300,秦皇岛,71,2015/2/23
130600,保定,140,2015/2/23
130900,沧州,119,2015/2/23
131000,廊坊,82,2015/2/23
310000,上海,92,2015/2/23
320100,南京,109,2015/2/23
330100,杭州,95,2015/2/23
110000,北京,207,2015/2/24
120000,天津,139,2015/2/24
130100,石家庄,211,2015/2/24
130200,唐山,156,2015/2/24
130300,秦皇岛,109,2015/2/24
130600,保定,335,2015/2/24
130900,沧州,160,2015/2/24
131000,廊坊,183,2015/2/24
310000,上海,79,2015/2/24
320100,南京,85,2015/2/24
330100,杭州,64,2015/2/24
500000,重庆,59,2015/2/24
310000,上海,55,2015/2/25
320100,南京,62,2015/2/25
500000,重庆,64,2015/2/25
